#  aims_uuid : C92D13E2-6412-42EF-AFCB-BD0B4162B67E                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.403352 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -15.59664786        0.00000000        0.00000000       -0.00000000        0.00000000        0.00000000
      -15.10283613        0.00143691        0.00087160       -0.00000578        0.00055178        0.00001931
      -14.60277362        0.00001146        0.00000859        0.00000068        0.00000206        0.00000013
      -14.10271112        0.00489769        0.00365335        0.00039589        0.00079246        0.00005599
      -13.60264861        0.03927443        0.03746438        0.00110523        0.00061768        0.00008713
      -13.10258610        1.17629812        0.88568855        0.20784233        0.06886821        0.01389903
      -12.60252359        0.14061283        0.00419434        0.02285333        0.11140440        0.00216076
      -12.10246108        0.00010255        0.00006078        0.00001323        0.00002613        0.00000241
      -11.60239858        0.01728824        0.01309402        0.00156361        0.00233442        0.00029620
      -11.10233607        0.00042630        0.00035059        0.00003103        0.00003890        0.00000578
      -10.60227356        0.01969628        0.01716492        0.00127723        0.00105976        0.00019437
      -10.10221105        0.06983447        0.06466371        0.00275709        0.00192862        0.00048504
       -9.60214855        0.17467465        0.17431956        0.00015583        0.00018834        0.00001092
       -9.10208604        7.74352225        7.71811238        0.01564082        0.00839979        0.00136926
       -8.60202353        4.36311611        4.35144882        0.00884783        0.00232932        0.00049014
       -8.10196102        0.00798037        0.00776265        0.00014849        0.00006071        0.00000852
       -7.60189851        0.00009874        0.00007845        0.00001056        0.00000728        0.00000244
       -7.10183601        0.01424026        0.01025955        0.00284342        0.00097230        0.00016499
       -6.60177350        0.01969551        0.00979651        0.00684213        0.00260426        0.00045261
       -6.10171099        0.02444497        0.00857003        0.01357340        0.00198657        0.00031498
       -5.60164848        0.03475613        0.00789819        0.02358630        0.00277779        0.00049386
       -5.10158598        0.12824014        0.00818729        0.11496013        0.00408091        0.00101181
       -4.60152347        2.31011347        0.02873868        2.24085052        0.02391089        0.01661337
       -4.10146096        2.55127556        0.13593354        2.31156591        0.09177760        0.01199850
       -3.60139845        1.88577672        0.10193201        1.45905594        0.30945775        0.01533102
       -3.10133594        1.31467273        0.23294528        0.86363997        0.18204295        0.03604452
